AtcoCode,NaptanCode,CommonName,StopType,Easting,Northing,LocalityCode,Longitude,Latitude,Indicator,Town,Street,Status,LocalityName
700000014927,,DERNAFLAW 3,BusCoachTramOnStreetPoint,265510,409090,N0000014,-6.9790264,54.9251177,,,,active,DerryCity
700000014928,,Foreglen Road,BusCoachTramOnStreetPoint,267550,409170,N0000014,-6.9471957,54.9255648,,,,active,DerryCity
700000014929,,FOREGLEN ROAD 3,BusCoachTramOnStreetPoint,260092,409516,N0000014,-7.0633941,54.929635,,,,active,DerryCity
700000014931,,St Columba's Church,BusCoachTramOnStreetPoint,300116,353675,N0000013,-6.4583895,54.4217883,,,,active,Craigavon
700000014934,,High Street Stop A,BusCoachTramOnStreetPoint,301100,353837,N0000013,-6.4431715,54.4230437,,,,active,Craigavon
700000014935,,High Street Stop B,BusCoachTramOnStreetPoint,301121,353852,N0000013,-6.4428911,54.4231718,,,,active,Craigavon
700000014936,,Carleton Street,BusCoachTramOnStreetPoint,300999,353562,N0000013,-6.4448255,54.4205975,,,,active,Craigavon
700000014937,,Portadown Train Station [bus stop],BusCoachTramOnStreetPoint,300837,353871,N0000013,-6.4472182,54.423404,,,,active,Craigavon
700000014938,,The Beeches,BusCoachTramOnStreetPoint,300617,354630,N0000013,-6.4503488,54.4302667,,,,active,Craigavon
700000014939,,Ballyoran,BusCoachTramOnStreetPoint,300282,354839,N0000013,-6.4554336,54.4322058,,,,active,Craigavon
700000014940,,Mayfair Business Centre,BusCoachTramOnStreetPoint,300376,354802,N0000013,-6.4539992,54.4318515,,,,active,Craigavon
700000014941,,St John the Baptist Church,BusCoachTramOnStreetPoint,299876,354875,N0000013,-6.4617271,54.4326062,,,,active,Craigavon
700000014942,,Shamrock Park,BusCoachTramOnStreetPoint,300349,352672,N0000013,-6.4551429,54.412736,,,,active,Craigavon
700000014943,,Pillars,BusCoachTramOnStreetPoint,308124,358454,N0000013,-6.3333733,54.4630568,,,,active,Craigavon
700000014944,,Market Street Stop C,BusCoachTramOnStreetPoint,308135,358441,N0000013,-6.333158,54.4629411,,,,active,Craigavon
700000014945,,Market Street Stop D,BusCoachTramOnStreetPoint,308170,358407,N0000013,-6.3326389,54.4626251,,,,active,Craigavon
700000014946,,Market Street Stop A,BusCoachTramOnStreetPoint,308148,358389,N0000013,-6.3329892,54.4624714,,,,active,Craigavon
700000014947,,Market Street Stop A,BusCoachTramOnStreetPoint,308152,358386,N0000013,-6.3329665,54.4624402,,,,active,Craigavon
700000014948,,Market Street Stop B,BusCoachTramOnStreetPoint,308138,358400,N0000013,-6.3331317,54.4625703,,,,active,Craigavon
700000014949,,Queen Street,BusCoachTramOnStreetPoint,308710,358015,N0000013,-6.3244597,54.4589955,,,,active,Craigavon
700000014950,,St Paul's Church,BusCoachTramOnStreetPoint,307384,358350,N0000013,-6.3447686,54.4622855,,,,active,Craigavon
700000014951,,Kenlis Street,BusCoachTramOnStreetPoint,312471,345560,N0000013,-6.2712033,54.3463361,,,,active,Craigavon
700000014952,,Police Station,BusCoachTramOnStreetPoint,312739,346094,N0000013,-6.2668823,54.351072,,,,active,Craigavon
700000014953,,Springvale Park,BusCoachTramOnStreetPoint,242300,419131,N0000014,-7.3394753,55.0178163,,,,active,DerryCity
700000014954,,Yeats Court,BusCoachTramOnStreetPoint,242021,419338,N0000014,-7.3438062,55.0196991,,,,active,DerryCity
700000014955,,Crescent Link Schools,BusCoachTramOnStreetPoint,246203,416673,N0000014,-7.2788614,54.995395,,,,active,DerryCity
700000014956,,Ivy Mead,BusCoachTramOnStreetPoint,245745,414765,N0000014,-7.2863306,54.9782998,,,,active,DerryCity
700000014957,,Lisnamon Park,BusCoachTramOnStreetPoint,245074,415469,N0000014,-7.2967342,54.9846719,,,,active,DerryCity
700000014958,,Water Works,BusCoachTramOnStreetPoint,245090,415470,N0000014,-7.2964841,54.9846795,,,,active,DerryCity
700000014959,,Greysteel 5,BusCoachTramOnStreetPoint,256910,421020,N0000014,-7.1107765,55.0333182,,,,active,DerryCity
700000014960,,Industrial Estate,BusCoachTramOnStreetPoint,251670,420950,N0000014,-7.1927276,55.0332605,,,,active,DerryCity
700000014961,,Carrickhue,BusCoachTramOnStreetPoint,258630,421580,N0000014,-7.0837218,55.0381601,,,,active,DerryCity
700000014962,,Carrickhue,BusCoachTramOnStreetPoint,258325,421435,N0000014,-7.0885262,55.0368942,,,,active,DerryCity
700000014963,,Anne Street,BusCoachTramOnStreetPoint,279449,362461,N0000016,-6.7743686,54.5043325,,,,active,Dungannon
700000014964,,Lurgaboy Lane,BusCoachTramOnStreetPoint,280212,363637,N0000016,-6.7622291,54.5147828,,,,active,Dungannon
700000014965,,Ardcumber Road Junction,BusCoachTramOnStreetPoint,281361,376106,N0000012,-6.741045,54.6265842,,,,active,Cookstown
700000014966,,Sweep Road,BusCoachTramOnStreetPoint,281084,376926,N0000012,-6.7451087,54.6339873,,,Cookstown,active,Cookstown
700000014967,,Rectors Turn,BusCoachTramOnStreetPoint,299503,355253,N0000013,-6.4672905,54.4360764,,,,active,Craigavon
700000014968,,Moyraverty Road,BusCoachTramOnStreetPoint,306461,355972,N0000013,-6.3598611,54.4411277,,,,active,Craigavon
700000014969,,Mall West,BusCoachTramOnStreetPoint,287835,345151,N0000003,-6.6500363,54.3474952,,,,active,Armagh
700000014970,,Newry Road,BusCoachTramOnStreetPoint,289068,344090,N0000003,-6.6314385,54.3377517,,,,active,Armagh
700000014971,,Armagh Baptist Church,BusCoachTramOnStreetPoint,288793,343854,N0000003,-6.6356897,54.3356882,,,,active,Armagh
700000014972,,Ashley Park,BusCoachTramOnStreetPoint,288561,344065,N0000003,-6.6391979,54.3376164,,,,active,Armagh
700000014973,,Golf Club,BusCoachTramOnStreetPoint,287998,344909,N0000003,-6.6476019,54.3452937,,,,active,Armagh
700000014974,,Longstone Exit,BusCoachTramOnStreetPoint,287695,347127,N0000003,-6.6516137,54.3652686,,,,active,Armagh
