stop_id,stop_name,stop_lat,stop_lon
700000000572,Greencastle,0,0
700000001303,Catherine Court,0,0
700000001305,Hazelwood College,0,0
700000001307,Serpentine Road,0,0
700000001309,Vandyck Gardens,0,0
700000001311,White City,0,0
700000001313,Upper Whitewell,0,0
700000001315,Throne Centre,0,0
700000001317,Fairyknowe Park,0,0
700000001319,Bellevue Park,0,0
700000001478,Fairview Terminus,0,0
700000000784,Abbeycentre,0,0
700000000786,Longlands Road,0,0
700000000774,Arthur Road,0,0
700000000574,M2 Onslip,0,0
700000000576,Bawnmore,0,0
700000000578,Whitehouse,0,0
700000001385,Carnview Road,0,0
700000001386,Waverley Gardens,0,0
700000001592,Merville Garden Village,0,0
700000001593,Merville Mews,0,0
700000001405,Abbey Park,0,0
700000001406,Rush Park,0,0
700000001407,Green End Doagh Road,0,0
700000001408,Abbot's Cross,0,0
700000001409,Heather Park,0,0
700000001410,Cloughfern Corner,0,0
700000001411,Knockenagh Avenue,0,0
700000001412,King's Road,0,0
700000003613,Abbey Green,0,0
700000003798,White Church,0,0
700000003747,Jennings Park,0,0
700000003748,Hollybank Court,0,0
700000003749,Hollybank Primary School,0,0
700000003750,Seagoe Gardens,0,0
700000003751,Hollybank Way,0,0
700000003752,Devenish Drive,0,0
700000003772,Rathcoole Drive,0,0
700000003773,Armoy Gardens,0,0
700000003774,Avonlea Gardens,0,0
700000003775,Belmore Gardens,0,0
700000003776,Clonbeg Drive,0,0
700000003777,Clonmore Walk,0,0
700000003781,Carnreagh Bend,0,0
700000003782,Rathcoole Primary School,0,0
700000003783,Rathcoole Leisure Park,0,0
700000003784,Derrycoole Walk,0,0
700000003785,East Way,0,0
700000003788,Green End,0,0
700000001404,Loughshore Manor,0,0
700000001356,Northern Regional College,0,0
700000003531,Station Road,0,0
700000003532,Dillons Avenue,0,0
700000003533,Whiteabbey Presbyterian Church,0,0
700000015234,Chestnut Cottages,0,0
700000015235,Glenbroome Park,0,0
700000015236,Coolemoyne Park,0,0
700000015237,Glencree Park,0,0
700000015238,Jordanstown Train Station [bus stop],0,0
700000015239,Hampton Court,0,0
700000001340,Abbey Retail Park,0,0
700000001342,Valley Retail Park,0,0
700000001344,Valley Leisure Centre,0,0
700000003705,Lacken Walk,0,0
700000003706,Lacken Gardens,0,0
700000003707,Tulleevin Walk,0,0
700000003708,Renagh Park,0,0
700000003709,Altnacreeve Park,0,0
700000001321,Bellevue Park,0,0
700000001323,Fairyknowe Park,0,0
700000001324,Throne Centre,0,0
700000001843,Arthur Bridge,0,0
700000001326,Upper Whitewell,0,0
700000001328,White City,0,0
700000001330,Vandyck Gardens,0,0
700000001332,Veryan Gardens,0,0
700000001334,Serpentine Road,0,0
700000001336,Catherine Court,0,0
700000000584,Grays Lane,0,0
700000000586,Parkmount,0,0
700000000588,Shore Crescent,0,0
700000000590,Donegall Park Avenue,0,0
700000000592,Loughside,0,0
700000000594,Lowwood Park,0,0
700000000596,Mount Vernon,0,0
700000000598,Fortwilliam Crescent,0,0
700000000600,York Drive,0,0
700000000604,Seaview,0,0
700000000606,Skegoneill Avenue,0,0
700000000608,Fife Street,0,0
700000000610,Ivan Street,0,0
700000000612,Mountcollyer Road,0,0
700000000616,St Paul's,0,0
700000000618,York Street Station [bus stop],0,0
700000001418,Dock Street,0,0
700000001419,Nelson Street Bridge,0,0
700000001420,Dunbar Link,0,0
700000001515,Ulster University Belfast,0,0
700000003753,Seagoe Gardens,0,0
700000003754,Hollybank Primary School,0,0
700000003755,Hollybank Court,0,0
700000003796,Monkstown Baptist Church,0,0
700000003797,White Church,0,0
700000003683,Jordanstown Road,0,0
700000001448,King's Road,0,0
700000001449,Knockenagh Avenue,0,0
700000001450,Cloughfern Corner,0,0
700000001451,Heather Park,0,0
700000001452,Abbot's Cross,0,0
700000001453,Green End Doagh Road,0,0
700000003789,Green End,0,0
700000003790,East Way,0,0
700000003791,Derrycoole Park,0,0
700000003792,Braden Glen,0,0
700000003793,Rathcoole Primary School,0,0
700000003794,Carnreagh Bend,0,0
700000003804,Clonmore Walk,0,0
700000014718,Clonbeg Drive,0,0
700000003806,Rathcoole Youth Centre,0,0
